State,Year,Production.Coal,Consumption.Commercial.Coal,Consumption.Commercial.Distillate Fuel Oil,Consumption.Commercial.Geothermal,Consumption.Commercial.Hydropower,Consumption.Commercial.Kerosene,Consumption.Commercial.Petroleum,Consumption.Commercial.Natural Gas,Consumption.Commercial.Solar,Consumption.Commercial.Wind,Consumption.Commercial.Wood,Consumption.Electric Power.Coal,Consumption.Electric Power.Distillate Fuel Oil,Consumption.Electric Power.Natural Gas,Consumption.Electric Power.Wood,Consumption.Industrial.Coal,Consumption.Industrial.Distillate Fuel Oil,Consumption.Industrial.Geothermal,Consumption.Industrial.Hydropower,Consumption.Industrial.Kerosene,Consumption.Industrial.Petroleum,Consumption.Industrial.Natural Gas,Consumption.Industrial.Other Petroleum Products,Consumption.Industrial.Solar,Consumption.Industrial.Wind,Consumption.Industrial.Wood,Consumption.Refinery.Coal,Consumption.Refinery.Distillate Fuel Oil,Consumption.Refinery.Natural Gas,Consumption.Residential.Coal,Consumption.Residential.Distillate Fuel Oil,Consumption.Residential.Geothermal,Consumption.Residential.Kerosene,Consumption.Residential.Petroleum,Consumption.Residential.Natural Gas,Consumption.Residential.Wood,Consumption.Transportation.Coal,Consumption.Transportation.Distillate Fuel Oil,Consumption.Transportation.Petroleum,Consumption.Transportation.Natural Gas,Expenditure.Commercial.Coal,Expenditure.Commercial.Distillate Fuel Oil,Expenditure.Commercial.Kerosene,Expenditure.Commercial.Petroleum,Expenditure.Commercial.Natural Gas,Expenditure.Electric Power.Coal,Expenditure.Electric Power.Distillate Fuel Oil,Expenditure.Electric Power.Natural Gas,Expenditure.Industrial.Coal,Expenditure.Industrial.Distillate Fuel Oil,Expenditure.Industrial.Kerosene,Expenditure.Industrial.Petroleum,Expenditure.Industrial.Natural Gas,Expenditure.Industrial.Other Petroleum Products,Expenditure.Residential.Coal,Expenditure.Residential.Distillate Fuel Oil,Expenditure.Residential.Kerosene,Expenditure.Residential.Petroleum,Expenditure.Residential.Natural Gas,Expenditure.Residential.Wood,Expenditure.Transportation.Coal,Expenditure.Transportation.Distillate Fuel Oil,Expenditure.Transportation.Petroleum,Expenditure.Transportation.Natural Gas,Price.Commercial.Coal,Price.Commercial.Distillate Fuel Oil,Price.Commercial.Kerosene,Price.Commercial.Petroleum,Price.Commercial.Natural Gas,Price.Electric Power.Coal,Price.Electric Power.Distillate Fuel Oil,Price.Electric Power.Natural Gas,Price.Industrial.Coal,Price.Industrial.Distillate Fuel Oil,Price.Industrial.Kerosene,Price.Industrial.Petroleum,Price.Industrial.Natural Gas,Price.Industrial.Other Petroleum Products,Price.Transportation.Coal,Price.Transportation.Distillate Fuel Oil,Price.Transportation.Petroleum,Price.Transportation.Natural Gas,Consumption.Total,Commercial,Electric Power,Industrial,Refinery,Residential,Transportation
Michigan,2019,0.0,0.0,8164.0,874.0,0.0,51.0,23163.0,192251.0,477.0,0.0,5374.0,397792.0,939.0,291575.0,21934.0,50030.0,21523.0,0.0,86.0,9.0,96040.0,189583.0,18960.0,26.0,0.0,38239.0,0.0,12.0,5509.0,0.0,3070.0,4320.0,109.0,46509.0,351305.0,37149.0,0.0,139631.0,751439.0,29704.0,0.0,128.1,1.2,394.1,1238.2,832.7,13.1,756.5,267.5,359.9,0.2,1317.3,1012.1,144.7,0.0,56.5,2.5,888.9,2684.6,101.0,0.0,3028.0,15165.9,0.0,0.0,15.69,22.82,17.01,6.44,2.09,13.95,2.59,5.35,16.73,19.81,16.39,5.68,22.25,0.0,21.69,20.18,0.0,2725847.0,230354.0,712240.0,414496.0,5521.0,442462.0,920774.0
Minnesota,2019,0.0,87.0,4462.0,0.0,0.0,9.0,15188.0,119124.0,310.0,219.0,6142.0,186532.0,570.0,94108.0,9343.0,18436.0,41760.0,0.0,860.0,15.0,135871.0,170595.0,40400.0,103.0,0.0,25840.0,0.0,29.0,17118.0,0.0,3225.0,1075.0,80.0,34227.0,151838.0,20944.0,0.0,128590.0,489140.0,13575.0,0.3,71.4,0.2,244.0,752.0,376.1,8.5,275.2,48.7,771.5,0.3,1526.7,648.9,33.1,0.0,63.8,1.9,579.4,1165.3,56.9,0.0,2820.7,10067.4,2.6,3.78,16.01,23.01,16.06,6.31,2.02,14.83,2.92,2.64,18.49,19.97,17.44,4.23,23.15,0.0,21.94,20.58,4.95,1729815.0,145541.0,290553.0,433880.0,17147.0,211389.0,631305.0
Missouri,2019,4227.0,205.0,3646.0,0.0,0.0,15.0,14840.0,69301.0,1205.0,0.0,3831.0,566093.0,1205.0,69801.0,963.0,18364.0,25165.0,0.0,0.0,4.0,59369.0,66773.0,3013.0,54.0,0.0,764.0,0.0,0.0,0.0,0.0,74.0,352.0,39.0,19822.0,112843.0,19484.0,0.0,158788.0,558467.0,8378.0,0.7,56.3,0.3,241.6,521.0,942.6,17.7,172.5,44.1,413.9,0.1,922.8,405.8,68.3,0.0,1.4,0.9,332.9,1151.5,53.0,0.0,3271.7,11155.0,2.8,3.31,15.43,22.44,16.28,7.52,1.67,14.73,2.47,2.4,16.45,19.48,15.54,6.08,22.67,0.0,20.6,19.97,7.26,1782858.0,93043.0,638062.0,173506.0,0.0,152614.0,725633.0
Mississippi,2019,28423.0,0.0,3142.0,741.0,0.0,5.0,7207.0,20492.0,69.0,0.0,228.0,50463.0,137.0,371871.0,131.0,565.0,15694.0,42.0,0.0,0.0,68292.0,138198.0,35696.0,5.0,0.0,44980.0,0.0,40.0,28590.0,0.0,0.0,175.0,8.0,5886.0,22736.0,1573.0,0.0,106273.0,315812.0,26896.0,0.0,49.8,0.1,117.4,169.0,148.5,2.0,1016.5,1.8,267.1,0.0,477.5,491.7,14.5,0.0,0.0,0.2,149.8,238.2,5.2,0.0,2148.8,6210.0,0.1,0.0,15.85,23.04,16.29,8.25,2.94,14.35,2.73,3.13,17.06,15.26,17.36,4.57,22.48,0.0,20.22,19.66,12.7,1265947.0,31884.0,422602.0,303472.0,28630.0,30378.0,448981.0
Montana,2019,608890.0,40.0,502.0,144.0,0.0,0.0,2940.0,29174.0,63.0,0.0,2030.0,155593.0,134.0,5699.0,0.0,3532.0,10680.0,70.0,0.0,0.0,48533.0,29088.0,18987.0,0.0,0.0,1680.0,0.0,23.0,8922.0,0.0,368.0,123.0,0.0,9906.0,25124.0,14033.0,0.0,42939.0,113027.0,3470.0,0.1,7.6,0.0,44.6,191.5,303.4,2.3,9.1,10.1,166.9,0.0,346.9,88.9,0.0,0.0,6.7,0.0,190.0,169.7,67.7,0.0,982.8,2574.9,0.0,3.39,15.23,21.53,15.16,6.56,1.95,16.96,1.59,2.85,15.66,15.07,15.42,5.57,0.0,0.0,22.89,22.78,9.52,526824.0,34893.0,161426.0,112570.0,8945.0,49554.0,159436.0
North Carolina,2019,0.0,1492.0,7541.0,0.0,126.0,36.0,26678.0,59111.0,2073.0,0.0,1284.0,306912.0,1984.0,313003.0,20005.0,9750.0,22212.0,0.0,0.0,5.0,76879.0,122857.0,6752.0,65.0,0.0,71728.0,0.0,0.0,0.0,0.0,4053.0,967.0,846.0,22543.0,70083.0,8879.0,0.0,165837.0,819991.0,4375.0,8.6,117.8,0.8,460.2,502.0,859.7,29.1,1186.2,37.9,359.5,0.1,1396.0,688.5,149.5,0.0,74.8,19.1,602.2,875.2,29.6,0.0,3554.0,16488.0,7.6,5.74,15.63,22.56,17.25,8.49,2.8,14.67,3.79,3.89,16.19,17.95,18.16,5.6,22.14,0.0,21.43,20.11,4.72,2148067.0,98341.0,641904.0,310248.0,0.0,107371.0,990203.0
North Dakota,2019,361946.0,934.0,1336.0,445.0,0.0,2.0,4028.0,17053.0,3.0,0.0,83.0,287210.0,392.0,15819.0,0.0,83874.0,44210.0,0.0,0.0,1.0,66805.0,83504.0,8008.0,0.0,0.0,178.0,0.0,6.0,3695.0,0.0,818.0,533.0,7.0,9042.0,14481.0,576.0,0.0,57536.0,112231.0,19124.0,1.4,20.8,0.1,57.1,87.6,468.2,5.7,52.1,112.8,732.5,0.0,966.2,92.3,0.0,0.0,15.0,0.2,140.8,91.9,1.6,0.0,1293.6,2491.1,0.0,1.55,15.55,22.61,14.17,5.14,1.63,14.49,3.29,1.35,16.57,19.62,17.07,2.56,0.0,0.0,22.48,22.2,8.5,831934.0,23884.0,303421.0,286580.0,3701.0,25457.0,188891.0
Nebraska,2019,0.0,0.0,2440.0,720.0,0.0,2.0,5300.0,37854.0,45.0,0.0,446.0,222894.0,239.0,12934.0,780.0,17520.0,26586.0,0.0,0.0,3.0,38783.0,96021.0,939.0,8.0,0.0,167.0,0.0,0.0,0.0,0.0,70.0,492.0,4.0,7890.0,44541.0,3080.0,0.0,88410.0,199313.0,7578.0,0.0,38.1,0.0,88.5,206.3,275.0,3.6,37.6,24.2,442.7,0.1,661.2,383.0,18.7,0.0,1.3,0.1,109.4,328.9,8.4,0.0,1922.3,4273.9,2.0,0.0,15.62,22.72,16.7,5.45,1.23,14.87,2.9,1.38,16.65,19.72,17.05,3.99,19.92,0.0,21.74,21.44,13.4,815059.0,46807.0,236847.0,180027.0,0.0,56077.0,295301.0
New Hampshire,2019,0.0,0.0,5141.0,0.0,0.0,78.0,13413.0,10459.0,364.0,0.0,1951.0,4182.0,71.0,26276.0,18124.0,0.0,2186.0,0.0,0.0,1.0,6832.0,10148.0,29.0,68.0,0.0,2068.0,0.0,0.0,0.0,0.0,24547.0,29.0,570.0,35829.0,8291.0,13486.0,0.0,13942.0,103033.0,166.0,0.0,87.1,1.7,216.1,126.5,14.0,1.3,197.4,0.0,34.4,0.0,130.0,92.9,0.7,0.0,439.1,12.3,758.8,126.5,55.8,0.0,304.7,2193.5,0.0,0.0,16.94,21.53,16.11,12.09,3.35,17.8,7.51,0.0,15.73,16.11,19.03,9.16,24.9,0.0,21.85,21.29,12.99,301284.0,31406.0,48653.0,21332.0,0.0,82752.0,117141.0
New Jersey,2019,0.0,0.0,9488.0,0.0,0.0,49.0,21725.0,161814.0,10358.0,0.0,385.0,13780.0,430.0,303045.0,10703.0,0.0,9934.0,0.0,0.0,32.0,124311.0,67700.0,44296.0,1460.0,0.0,249.0,0.0,0.0,28014.0,0.0,24086.0,466.0,32.0,28925.0,248751.0,2664.0,0.0,123796.0,708878.0,7989.0,0.0,153.1,1.1,402.4,1407.3,42.4,6.0,850.8,0.0,149.4,0.5,1208.4,291.0,142.2,0.0,491.6,0.7,656.8,2326.0,11.0,0.0,2706.0,14266.0,3.7,0.0,16.14,22.96,18.52,8.7,3.07,14.06,2.81,0.0,15.04,16.26,17.96,7.33,20.14,0.0,21.86,20.12,12.24,1953360.0,203819.0,327958.0,247982.0,28014.0,304924.0,840663.0
New Mexico,2019,268307.0,0.0,1713.0,72.0,0.0,0.0,5559.0,30591.0,780.0,26.0,1889.0,150010.0,4046.0,106565.0,288.0,1458.0,13024.0,241.0,0.0,0.0,40744.0,111550.0,12268.0,12.0,0.0,18.0,0.0,12.0,9975.0,0.0,11.0,55.0,0.0,4816.0,43714.0,13060.0,0.0,93943.0,217342.0,12713.0,0.0,26.7,0.0,89.9,135.3,373.4,76.9,134.5,4.4,218.1,0.0,533.2,30.2,1.6,0.0,0.2,0.0,114.0,271.3,63.0,0.0,1998.3,4486.9,2.9,0.0,15.57,22.64,16.17,4.42,2.49,19.01,1.26,3.03,16.76,14.99,20.65,3.37,20.14,0.0,21.27,20.64,12.99,876495.0,40630.0,260909.0,179315.0,9987.0,61656.0,323998.0
Nevada,2019,0.0,0.0,2571.0,4717.0,0.0,12.0,8432.0,36642.0,1561.0,0.0,389.0,30498.0,142.0,201667.0,904.0,6678.0,22194.0,416.0,0.0,0.0,35314.0,21537.0,1326.0,359.0,0.0,114.0,0.0,0.0,43.0,0.0,266.0,349.0,4.0,2276.0,49909.0,2688.0,0.0,51159.0,267701.0,5718.0,0.0,46.4,0.3,184.7,228.4,84.2,2.3,618.1,22.3,394.5,0.0,661.6,119.9,26.4,0.0,5.7,0.1,60.3,455.3,13.0,0.0,1145.8,6008.8,6.9,0.0,18.05,23.01,21.91,6.23,2.76,16.25,3.07,3.33,17.77,19.14,18.83,5.58,23.01,0.0,22.4,22.45,5.13,755586.0,54324.0,233211.0,87938.0,43.0,55492.0,324578.0
New York,2019,0.0,0.0,48168.0,751.0,58.0,422.0,73372.0,333194.0,7179.0,25.0,5128.0,4759.0,2197.0,390433.0,27276.0,8889.0,14651.0,0.0,529.0,686.0,86667.0,93426.0,4516.0,208.0,12.0,18644.0,0.0,0.0,0.0,0.0,105675.0,434.0,3266.0,137217.0,488901.0,35447.0,0.0,181415.0,1158103.0,27052.0,0.0,758.1,9.4,1222.7,2327.2,10.8,30.9,1147.1,30.4,214.9,11.6,1461.1,695.5,97.9,0.0,2034.7,73.1,2956.1,5972.3,146.6,0.0,4263.4,22988.1,9.8,0.0,15.74,22.39,16.66,6.98,2.28,14.06,2.94,3.42,14.67,16.96,16.86,7.46,21.69,0.0,23.5,19.85,10.07,3258700.0,468297.0,424665.0,228228.0,0.0,770940.0,1366570.0
Ohio,2019,192413.0,0.0,12366.0,839.0,0.0,54.0,33116.0,189282.0,1082.0,30.0,3075.0,480773.0,1793.0,386139.0,6419.0,113484.0,30606.0,0.0,0.0,66.0,185691.0,341004.0,70787.0,231.0,641.0,13397.0,0.0,40.0,22917.0,0.0,8304.0,2596.0,284.0,30111.0,309460.0,21259.0,0.0,242983.0,861221.0,31993.0,0.0,193.6,1.2,583.6,1059.2,860.5,27.7,931.7,557.1,510.1,1.3,2132.3,1718.2,384.3,0.0,152.9,6.5,694.6,2779.0,57.8,0.0,5275.3,18250.5,7.0,0.0,15.66,22.77,17.62,5.6,1.79,15.44,2.41,4.91,16.69,19.76,18.47,5.82,22.28,0.0,21.71,21.19,12.64,3402043.0,239844.0,875124.0,755907.0,22957.0,372014.0,1136197.0
Oklahoma,2019,5153.0,0.0,4750.0,0.0,0.0,1.0,11584.0,50334.0,42.0,0.0,626.0,89027.0,188.0,349308.0,255.0,4926.0,26135.0,0.0,0.0,2.0,109802.0,334213.0,47584.0,5.0,0.0,23487.0,0.0,35.0,27969.0,0.0,16.0,24.0,2.0,8393.0,70037.0,4325.0,0.0,147952.0,406156.0,57863.0,0.0,73.5,0.0,189.0,355.2,154.2,2.9,834.6,19.3,430.5,0.0,1029.9,460.1,22.5,0.0,0.3,0.1,145.8,638.2,14.4,0.0,3023.1,8085.7,11.4,0.0,15.47,22.5,16.32,7.06,1.73,15.28,2.39,3.91,16.49,19.53,19.95,2.42,21.06,0.0,20.43,19.91,7.07,1775041.0,67337.0,438778.0,546154.0,28004.0,82797.0,611971.0
Oregon,2019,0.0,0.0,2355.0,676.0,0.0,6.0,11031.0,34103.0,783.0,0.0,3905.0,26244.0,83.0,151379.0,6616.0,1186.0,12756.0,166.0,0.0,3.0,30310.0,60064.0,1539.0,141.0,0.0,39632.0,0.0,0.0,0.0,0.0,1314.0,390.0,150.0,4760.0,50478.0,26998.0,0.0,82875.0,306134.0,6024.0,0.0,39.8,0.1,227.5,255.1,59.6,1.0,334.3,4.1,212.2,0.1,575.2,263.4,34.8,0.0,26.5,3.2,111.7,477.8,130.2,0.0,1933.1,7544.1,0.8,0.0,16.9,21.53,20.62,7.48,2.27,12.45,2.21,3.46,16.63,17.91,18.98,4.39,22.62,0.0,23.33,24.64,14.46,862101.0,52859.0,184322.0,145797.0,0.0,84090.0,395033.0
Pennsylvania,2019,1250902.0,311.0,19943.0,816.0,0.0,217.0,42817.0,167984.0,1505.0,0.0,4840.0,398101.0,2179.0,696798.0,24007.0,170369.0,43822.0,0.0,0.0,63.0,184915.0,516241.0,48120.0,628.0,0.0,39650.0,0.0,0.0,19343.0,0.0,66666.0,1347.0,1056.0,91474.0,245942.0,33458.0,0.0,214525.0,866904.0,44314.0,1.3,314.5,5.3,761.4,1533.8,749.9,30.6,1627.5,775.5,655.2,1.0,2464.1,1963.1,214.8,0.0,1373.7,25.9,2019.6,2768.6,138.4,0.0,5101.4,19160.4,14.0,4.33,15.77,24.5,17.78,9.13,1.88,14.06,2.34,4.55,14.95,16.27,18.36,8.2,22.49,0.0,23.78,22.1,8.18,3948355.0,238433.0,1121085.0,1003808.0,19343.0,439943.0,1125743.0
Rhode Island,2019,0.0,0.0,1730.0,0.0,0.0,5.0,3690.0,12783.0,1090.0,68.0,252.0,0.0,78.0,53023.0,2036.0,0.0,1051.0,0.0,0.0,0.0,7280.0,9079.0,520.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,11827.0,57.0,19.0,13466.0,20479.0,1744.0,0.0,9538.0,56517.0,2212.0,0.0,31.4,0.1,68.4,159.8,0.0,1.3,211.6,0.0,17.7,0.0,130.1,85.5,12.0,0.0,226.8,0.4,285.2,305.5,7.2,0.0,216.8,1237.6,1.2,0.0,18.13,23.04,18.55,12.5,0.0,16.64,3.99,0.0,16.83,17.24,17.88,9.42,23.12,0.0,22.73,21.9,12.5,208619.0,19618.0,55137.0,18005.0,0.0,47592.0,68267.0
South Carolina,2019,0.0,0.0,3288.0,0.0,22.0,14.0,12458.0,25610.0,708.0,0.0,237.0,156430.0,826.0,187731.0,16239.0,4273.0,11701.0,0.0,0.0,2.0,46859.0,97511.0,3356.0,270.0,0.0,82863.0,0.0,0.0,0.0,0.0,424.0,648.0,131.0,4472.0,29663.0,1636.0,0.0,124111.0,472456.0,2372.0,0.0,52.0,0.3,213.3,213.9,501.1,12.5,594.3,16.5,191.7,0.0,726.5,443.2,68.8,0.0,8.0,3.0,134.7,379.4,5.4,0.0,2514.0,9233.2,1.2,0.0,15.81,22.82,17.13,8.35,3.2,15.13,3.17,3.85,16.38,19.45,15.5,4.55,20.5,0.0,20.26,19.54,9.49,1286311.0,42337.0,361226.0,246835.0,0.0,36974.0,598939.0
South Dakota,2019,0.0,0.0,828.0,967.0,0.0,1.0,2387.0,14526.0,4.0,0.0,314.0,27750.0,193.0,9891.0,0.0,3670.0,10635.0,251.0,0.0,1.0,19593.0,49888.0,23.0,0.0,0.0,319.0,0.0,0.0,0.0,0.0,530.0,650.0,2.0,6400.0,16048.0,2169.0,0.0,34239.0,91418.0,7067.0,0.0,12.8,0.0,37.2,73.7,49.5,2.7,25.1,8.2,175.4,0.0,340.7,219.9,0.7,0.0,9.7,0.0,100.5,108.0,5.9,0.0,750.3,1965.9,0.0,0.0,15.47,22.5,15.57,5.08,1.78,14.19,2.54,2.25,16.49,19.53,17.39,4.41,29.79,0.0,21.91,21.51,0.0,299764.0,19027.0,37834.0,84380.0,0.0,25799.0,132724.0
Tennessee,2019,11341.0,0.0,5827.0,0.0,0.0,17.0,15133.0,58711.0,639.0,0.0,1083.0,184546.0,1555.0,118725.0,879.0,32330.0,11754.0,0.0,0.0,31.0,71654.0,154099.0,24727.0,57.0,0.0,44291.0,0.0,12.0,6983.0,0.0,158.0,213.0,213.0,7678.0,71609.0,7490.0,0.0,166534.0,655905.0,11470.0,0.0,92.3,0.4,261.0,456.2,394.9,22.2,339.6,112.6,198.3,0.6,967.4,659.1,180.8,0.0,3.0,4.9,167.0,649.1,24.9,0.0,3448.2,12947.6,2.0,0.0,15.84,23.04,17.25,7.77,2.14,14.27,2.86,3.48,16.89,19.11,19.13,4.49,20.75,0.0,20.71,19.74,6.2,1654323.0,81410.0,305705.0,338943.0,6995.0,87361.0,833909.0
Texas,2019,308449.0,0.0,13802.0,890.0,13.0,35.0,49407.0,203190.0,2191.0,480.0,388.0,982825.0,540.0,1828831.0,6403.0,9896.0,185219.0,0.0,0.0,92.0,3782281.0,2349893.0,960975.0,20.0,81.0,54792.0,0.0,651.0,311029.0,0.0,6.0,1588.0,2.0,21611.0,234074.0,2684.0,0.0,949169.0,3168658.0,163623.0,0.0,217.2,0.8,837.4,1223.8,1956.0,7.8,4360.8,42.7,3127.3,1.4,33210.7,4309.0,6711.1,0.0,0.1,0.1,535.5,2420.4,8.9,0.0,19081.2,59056.3,21.2,0.0,15.74,22.88,16.95,6.02,1.99,14.41,2.38,4.32,16.94,15.38,10.73,2.81,15.22,0.0,20.1,18.64,12.83,15285339.0,270396.0,2818599.0,7343249.0,311680.0,259965.0,4281450.0
Utah,2019,326024.0,0.0,2675.0,356.0,0.0,2.0,6515.0,49574.0,785.0,0.0,615.0,258293.0,402.0,70235.0,769.0,8696.0,14825.0,357.0,0.0,1.0,50624.0,62894.0,18812.0,82.0,0.0,154.0,0.0,23.0,8811.0,0.0,136.0,96.0,1.0,3191.0,79528.0,4250.0,0.0,68579.0,258435.0,13557.0,0.0,43.2,0.0,113.9,300.6,508.1,6.7,215.6,22.0,245.8,0.0,506.9,164.7,16.1,0.0,2.6,0.0,69.3,593.8,20.5,0.0,1570.3,5692.4,6.1,0.0,16.15,22.84,17.48,6.06,1.97,16.75,3.07,2.53,16.61,15.99,18.51,4.77,23.44,0.0,22.9,22.03,18.08,983273.0,60522.0,329699.0,156445.0,8834.0,87202.0,340571.0
Virginia,2019,320290.0,592.0,10824.0,885.0,0.0,74.0,29628.0,75324.0,342.0,0.0,1764.0,42474.0,1516.0,428593.0,31176.0,42053.0,15630.0,0.0,1.0,13.0,53413.0,112902.0,6045.0,16.0,0.0,56973.0,0.0,0.0,0.0,0.0,9431.0,816.0,418.0,22575.0,86516.0,12194.0,0.0,172992.0,763636.0,14663.0,3.0,169.2,1.7,497.7,607.7,117.5,21.6,1363.4,183.5,254.3,0.2,934.9,468.8,130.1,0.0,177.1,9.5,566.8,1032.7,40.6,0.0,3649.8,14844.7,10.9,5.11,15.63,22.67,16.8,8.07,2.77,14.22,3.18,4.36,16.27,17.78,17.5,4.41,21.53,0.0,21.1,19.44,11.95,1993479.0,119433.0,503759.0,287046.0,0.0,131950.0,951291.0
Vermont,2019,0.0,0.0,3215.0,0.0,0.0,33.0,7056.0,7605.0,508.0,0.0,2281.0,0.0,17.0,13.0,5881.0,0.0,3567.0,0.0,0.0,20.0,7911.0,2455.0,184.0,20.0,0.0,191.0,0.0,0.0,0.0,0.0,11496.0,29.0,378.0,18936.0,4288.0,14534.0,0.0,9568.0,46291.0,3.0,0.0,57.7,0.8,121.7,44.1,0.0,0.3,0.0,0.0,59.5,0.3,135.9,9.8,4.2,0.0,221.1,8.6,433.9,54.4,60.1,0.0,221.8,1032.7,0.0,0.0,17.96,22.82,17.25,5.8,0.0,16.64,3.75,0.0,16.67,17.08,17.17,3.99,23.01,0.0,23.18,22.31,0.0,146480.0,20698.0,5911.0,14348.0,0.0,49661.0,55862.0
Washington,2019,0.0,0.0,4295.0,778.0,0.0,17.0,17124.0,66198.0,264.0,0.0,4582.0,79356.0,130.0,115167.0,6124.0,1482.0,24973.0,0.0,0.0,1.0,130928.0,85165.0,59458.0,5.0,0.0,69711.0,0.0,173.0,36500.0,0.0,3624.0,358.0,31.0,14550.0,97618.0,31676.0,0.0,130322.0,659033.0,14052.0,0.0,69.9,0.4,354.8,457.0,180.2,2.1,382.2,8.6,439.3,0.0,950.0,307.7,31.2,0.0,77.8,0.7,329.3,883.5,152.8,0.0,3147.8,14873.5,2.3,0.0,16.27,22.93,20.72,6.9,2.27,16.52,3.32,5.78,17.72,19.08,16.37,6.32,21.19,0.0,24.15,22.57,12.35,1653695.0,93258.0,200777.0,371723.0,36673.0,147857.0,803407.0
Wisconsin,2019,0.0,535.0,3589.0,0.0,0.0,10.0,14817.0,106619.0,365.0,191.0,4214.0,262276.0,655.0,151254.0,14071.0,17296.0,25624.0,0.0,1019.0,27.0,73720.0,170696.0,8011.0,153.0,66.0,50598.0,0.0,0.0,0.0,0.0,4879.0,615.0,78.0,37524.0,159117.0,29134.0,0.0,120909.0,447514.0,4684.0,3.1,55.8,0.2,244.1,623.7,582.7,9.0,414.1,68.5,424.6,0.5,1295.9,822.9,179.1,0.0,87.8,1.8,590.5,1164.2,79.2,0.0,2649.6,9641.9,2.1,5.88,15.55,22.61,16.48,5.85,2.22,13.68,2.74,3.96,16.57,19.62,17.77,4.82,22.36,0.0,21.91,21.55,4.19,1710260.0,130340.0,428256.0,347210.0,0.0,231347.0,573107.0
West Virginia,2019,2422224.0,0.0,2600.0,3.0,0.0,20.0,6085.0,25615.0,34.0,0.0,1378.0,593536.0,1324.0,17545.0,0.0,28186.0,20809.0,0.0,5014.0,15.0,47034.0,142983.0,4480.0,1.0,0.0,911.0,0.0,0.0,1558.0,0.0,1590.0,29.0,140.0,4622.0,25887.0,9525.0,0.0,59062.0,157840.0,25996.0,0.0,41.1,0.5,103.5,189.3,1237.4,20.5,38.4,137.4,340.9,0.3,812.2,106.8,47.7,0.0,29.9,3.2,123.4,236.1,31.7,0.0,1299.8,3445.3,0.1,0.0,15.81,22.82,17.01,7.39,2.08,15.51,2.19,4.88,16.38,17.89,18.03,2.8,19.12,0.0,22.01,21.83,7.39,1183822.0,35735.0,612405.0,249433.0,1558.0,41793.0,242898.0
Wyoming,2019,4828513.0,147.0,1040.0,528.0,0.0,0.0,3418.0,13963.0,19.0,0.0,616.0,379251.0,423.0,3448.0,0.0,30824.0,22679.0,65.0,0.0,0.0,51079.0,119957.0,15270.0,3.0,0.0,87.0,0.0,17.0,8371.0,0.0,107.0,70.0,0.0,3620.0,15103.0,4257.0,0.0,61096.0,101843.0,13943.0,0.4,16.5,0.0,49.5,81.9,617.4,6.8,10.6,74.5,369.0,0.0,530.4,211.0,5.3,0.0,2.0,0.0,76.3,113.3,20.5,0.0,1315.3,2218.2,0.2,2.94,15.84,22.39,14.5,5.86,1.63,16.08,3.07,2.42,16.28,15.68,17.48,3.64,19.05,0.0,21.53,21.78,10.75,851244.0,19731.0,383122.0,239964.0,8388.0,23157.0,176882.0
